Title,Video ID,Published At,Keyword,Likes,Comments,Views,year,month,Engagement_Score
Chappelle&#39;s Show - Wu-Tang Financial (ft. RZA and GZA) - Uncensored,zhUnEg0he4A,2017-12-31,finance,39868,1068,2797148,2017,12,0.014634906697822211
"Fed: &#39;Things break&#39; when you start quantitative tightening, strategist says",C0YBeTs3Sr0,2022-08-19,finance,83,32,8862,2022,8,0.012976754682915821
"Why eggs are becoming more expensive, according to Vital Farms CEO",PMbu27Yjs40,2022-08-20,finance,51,36,4384,2022,8,0.019844890510948905
Tamil Nadu Finance Min Palanivel Thiagarajan&#39;s Viral &amp; Fiery Retort To Modi Govt On Freebies,DUi-noArzW8,2022-08-17,finance,19621,7087,890196,2022,8,0.03000238149800718
Gravitas Plus | Financial Literacy: The need of the hour,7oj6gpAbYgw,2021-07-11,finance,37925,3545,1213867,2021,7,0.03416354510008098
India Today is a Miracle…But That Miracle is Under Threat—Tamil Nadu Finance Minister P Thiaga Rajan,ZMsam_0CObA,2022-08-20,finance,24181,4776,608005,2022,8,0.0476262530735767
10 personal finance lessons that changed my life,bMXTGGxrQ3A,2021-11-03,finance,29610,1473,637152,2021,11,0.04878427753503089
Finance experts on the prospect of Sir Jim Ratcliffe buying a stake in Manchester United,_kGzxVf02M0,2022-08-18,finance,1692,268,93564,2022,8,0.020948227950921293
&#39;A Storm Is Brewing: Steve Forbes Warns That A &#39;Big Financial Crisis&#39; Is Coming | What&#39;s Ahead,mAukJsMg_xI,2022-07-14,finance,2236,595,118523,2022,7,0.02388565932350683
Become a Master of Finance with Harvard Professor Mihir Desai (with Lewis Howes),oSGld-eY7BM,2017-08-02,finance,4894,201,196484,2017,8,0.025930864599662058
"Finance influencer talks social media, retail hacks, and what to know when you travel",jNA6j8rsa3s,2022-08-20,finance,57,13,2548,2022,8,0.027472527472527472
Ed Hyman: The Economy is Doing OK,vkBWC70edhw,2022-08-19,finance,319,180,29180,2022,8,0.017100753941055518
Introduction to Corporate Finance - FREE Course,5eGRi66iUfU,2016-11-19,finance,19352,597,1344472,2016,11,0.01483779506006819
No Consideration of Charges for UPI Services | Cleared Finance Ministrer Nirmala |,RbT6GksZOmk,2022-08-22,finance,404,30,22593,2022,8,0.019209489664940467
"Personal finance: How to save, spend, and think rationally about money | Big Think",0uYnj1i1EQw,2020-09-23,finance,40534,1851,1257676,2020,9,0.0337010486007525
BJP Slams Tamil Nadu Finance Minister Palanivel Thiagarajan For Questioning Centre On Freebies,KuttwkM3LEc,2022-08-17,finance,1289,1852,189066,2022,8,0.016613246168004824
bitcoin holders...what are these guys up to?,Rhbmn9elNcc,2022-08-24,crypto,2713,115,46082,2022,8,0.06136886419860249
I got sued,B95xYAfRCtY,2022-08-23,crypto,34468,4428,390348,2022,8,0.09964441985100475
"The REAL REASON Bitcoin Will Hit $500,000 Per Coin By 2030 (NOT CLICKBAIT)",M5Ul0c_Wd-Q,2022-08-24,crypto,5595,641,77109,2022,8,0.08087253109234979
Attention: Bitcoin is About to Destroy New Crypto Investors (Wyckoff Analysis),U-WawEOgGLA,2022-08-23,crypto,1720,272,20600,2022,8,0.09669902912621359
ATOM COSMOS PREND SON ENVOL 🔥 DOSSIER MAJEUR DES BLOCKCHAINS 💎 #atom #cosmos #crypto #ethereum,TbAo2-I_UcU,2022-08-24,crypto,230,95,2201,2022,8,0.14766015447523853
Youtuber Gets Sued By Crypto Millionaire,uPZOzWFr5KU,2022-08-24,crypto,27738,2355,474368,2022,8,0.06343809025903939
China&#39;s Economic CRASH: Why It&#39;s Coming &amp; What It Means,JJeWBxhXWGM,2022-08-23,crypto,12829,802,192740,2022,8,0.07072221645740376
woah...pay attention to bitcoin and these crypto,fhfcEigOfqA,2022-08-24,crypto,3405,171,57692,2022,8,0.06198433058309644
ALERT!!!!!!!! BITCOIN BREAKOUT NOW!!!!!?!! BUT… THIS IS VERY SCARY!!!! [watch fast]🚨,wX4_IbxeDpU,2022-08-24,crypto,1908,199,23786,2022,8,0.08858151854031783
Top Crypto Experts On Ethereum Merge! (DXY vs Bitcoin),M9ASq40D1P8,2022-08-23,crypto,3400,170,45779,2022,8,0.07798335481334236
"Rep. Boebert skips crypto reporting cutoff, and cutting emissions with blockchain: CNBC Crypto World",E3R0mnnMP0k,2022-08-24,crypto,212,429,6443,2022,8,0.09948781623467329
The Next 72 Hours Could Make Or Break You! (Bitcoin &amp; Crypto Analysis),fatt4mTXxeI,2022-08-24,crypto,1700,60,21012,2022,8,0.08376166000380734
Coinbase CEO Brian Armstrong on managing the crypto winter,GAUDp-iw6z0,2022-08-23,crypto,90,138,7050,2022,8,0.03234042553191489
BITCOIN BREAKOUT IN 48 HOURS!!!!! I&#39;M SHAKING!!!!!,9Nv6cfEbWjs,2022-08-23,crypto,765,463,9585,2022,8,0.1281168492436098
MAJOR Indicator Flashes | But What Does It Mean For Bitcoin?,fABgTl593C4,2022-08-23,crypto,2645,102,35571,2022,8,0.07722583003008068
THIS WILL SHOCK EVERYONE!!!!!,lDcqVQnptw8,2022-08-24,crypto,827,568,8502,2022,8,0.16407904022582923
is the BITCOIN crash almost over or is it just getting started? Crypto News Today,JpJ2-wjxzCE,2022-08-24,crypto,626,49,7989,2022,8,0.08449117536612842
GET READY FOR 25th-27th AUGUST !!!,L1IriPbz1EU,2022-08-24,crypto,2015,239,18216,2022,8,0.12373737373737374
One Asset Is About To Smash Bitcoin | Can You Still Invest?,WTsmsij8ge4,2022-08-24,crypto,3179,184,43235,2022,8,0.07778420261362322
48 HOURS UNTIL THE CRYPTO MARKET &quot;KNOWS!&quot; (CRUCIAL TIME FOR CRYPTO!),8JE0yOUAFmM,2022-08-24,crypto,431,154,4247,2022,8,0.13774429008712033
🚨 39 Days Until Europe’s Economic Death 🚨  [Russia Gas Crisis],ROcNcDiicGI,2022-08-24,crypto,1992,216,25115,2022,8,0.0879155882938483
🔥5 CRYPTO COINS TO DCA SOON &amp; MAKE F*** YOU MONEY?! (URGENT!),uTrnjvYD1Bo,2022-08-23,crypto,1450,238,15689,2022,8,0.10759130601058066
Critical Ethereum Bug (Bitcoin Struggles for Momentum),Q_zgBWGwRpI,2022-08-24,crypto,1462,83,25316,2022,8,0.06102859851477327
CRYPTO ABOUT TO REACT TO ECONOMIC COLLAPSE,mLXELbuQNQQ,2022-08-23,crypto,1324,249,30328,2022,8,0.05186626219994724
all eyes on these two...what will they do to bitcoin and markets?,bsWdHTTvn10,2022-08-23,crypto,2719,168,48051,2022,8,0.060081996212357706
"Takeoff, Rich The Kid - Crypto (Official Video)",EPQJHNXdJfM,2022-03-11,crypto,182663,6456,6366422,2022,3,0.02970569654352162
FRIDAY IS A &quot;MASSIVE&quot; DAY FOR CRYPTO! FIND OUT WHY!,RxFc-B0nWaQ,2022-08-23,crypto,476,280,6160,2022,8,0.12272727272727273
Raoul Pal Update: Time Is Running Out &amp; Crypto Will Not Recover Untill It Happens,rwUuug2dzk0,2022-08-24,crypto,66,105,1616,2022,8,0.10581683168316831
BITBOY CRYPTO SUES @Atozy  CRAZY CRYPTO STORY,CEZ2UPYnPUU,2022-08-24,crypto,105,51,1599,2022,8,0.0975609756097561
Warren Buffet Hates Bitcoin! (How PMI Affects Crypto),JsU8L0Vd0DM,2022-08-23,crypto,1493,69,23035,2022,8,0.06780985456913392
THIS MARKET IS EXTREMELY DEADLY WITHOUT A PLAN...HERE&#39;S MINE,kTwoBKSefKQ,2022-08-23,crypto,3638,314,39409,2022,8,0.10028166154939228
🔥 TOP 5 CRYPTO EXPLOSIVES QUE PERSONNE NE VOIT ? 👑 Analyse Bitcoin FR ⚡,74d7rGfrW54,2022-08-24,crypto,408,45,7771,2022,8,0.05829365590014155
BINANCE JUST SCORED A HUGE WIN FOR CRYPTO ADOPTION! [The Afternoon Brew],h-NVvKlwItY,2022-08-24,crypto,257,27,2742,2022,8,0.10357403355215171
this is not good...but will it effect bitcoin?,2POK4LI1Xt4,2022-08-23,crypto,3091,200,52909,2022,8,0.062201137802642276
"WAVE COUNT FAVORS UP, as Crypto Market and Bitcoin Pause with Stock Market Elliott Waves Deep Dive",sPrDiRxRjNI,2022-08-23,crypto,3916,158,30871,2022,8,0.13196851413948366
NEW Crypto Gameplay *BROKEN LEGEND!* | Apex Legends Mobile,BrB7EgdkQ6Q,2022-08-24,crypto,357,101,10554,2022,8,0.043395868864885355
"INVESTOR BIG SHORT INI MENJUAL 98% ASETNYA, APA ARTINYA UNTUK CRYPTO⁉️",e8IkcY-5SPw,2022-08-24,crypto,92,55,2546,2022,8,0.05773762765121759
BITCOIN 4 YEAR LOW ON EXCHANGES. FTX UP 1000% &amp; VOYAGER WANTS A BONUS?,lwk6GsEsOa8,2022-08-22,crypto,2258,125,28047,2022,8,0.08496452383499127
"Mt. Gox - Bitcoin to $10,000 ?",Q6D14KkvK3o,2022-08-23,crypto,2539,314,36410,2022,8,0.07835759406756386
DON XHONI - CRYPTO (Prod. by Rzon &amp; Pllumb),rRlyx054z20,2022-03-12,crypto,95151,3859,11805668,2022,3,0.00838664953139458
WORST Housing Crash JUST STARTED! Life Changing Crypto Deals Incoming!,hguYY6DvuFA,2022-08-23,crypto,4303,360,46495,2022,8,0.10029035380148403
Market Drops 📉 NFTs in Trouble 😱 FDIC Issues Warnings ⚠ (Crypto This Week! 🗓👀) #CryptoNews,y-Ai1SXe2n8,2022-08-22,crypto,2379,177,31510,2022,8,0.08111710568073627
"Large BITCOIN Wallets are BUYING, what do they KNOW? Crypto News Today",4rFglVbT-1M,2022-08-23,crypto,757,35,9099,2022,8,0.08704253214638971
Jerome Powell About To CRASH The Market?! This Can Move Crypto! (New Home Buyers Should Get Ready),M-PNseEteqQ,2022-08-23,crypto,310,114,4723,2022,8,0.08977344907897523
Best Indicators for Crypto Day Trading (Effective),djKoPtWQa1o,2022-08-24,crypto,629,202,8867,2022,8,0.09371828126762152
🔴 URGENT Bitcoin Shocking Trend for Big Profit | Crypto News Today,L1myCVUeR4Q,2022-08-23,crypto,705,627,7516,2022,8,0.1772219265566791
Urgent! If You Hold ANY Crypto WATCH NOW! Terra Luna Classic Recovery!,qb9ldWdVJP4,2022-08-23,crypto,1021,634,11448,2022,8,0.1445667365478686
Bitcoin 4 Year Cycle Prediction - This May Change Your Mind On BTC,IsKI359lAbQ,2022-08-23,crypto,1606,183,27258,2022,8,0.06563210800498936
Crypto news today - Bitcoin price prediction (hindi/urdu),smp-vZwlyrQ,2022-08-24,crypto,418,71,5034,2022,8,0.09713945172824791
ATTN: BITCOIN HODLERS!!!!!! LOOK WHAT’S HAPPENING!!!!🚨WARNING!!!! 72 HRS MAXIMUM!!!!!!!!,FCHw3qpog_Q,2022-08-23,crypto,1987,181,25648,2022,8,0.08452900810979413
When Your Rubik’s Cube is IMPOSSIBLE…,Gn5UtuyHhzo,2022-08-23,cubes,2072,156,79265,2022,8,0.02810824449630985
Rubik&#39;s Cubes From Level 1 to Level 100 (WHAT&#39;S YOUR LEVEL?),KWYb7pxhhWM,2021-02-27,cubes,111085,18963,10963984,2021,2,0.011861381775091974
My Rubik&#39;s Cube Collection! [200+ Cubes],MyDnyfS7c1g,2020-12-21,cubes,32280,2947,2570601,2020,12,0.013703799228273856
How to Solve a 3x3 Rubik&#39;s Cube In No Time | The Easiest Tutorial,KGvQRaK1mvs,2019-05-24,cubes,511551,25520,49429306,2019,5,0.01086543679168791
[2022] My Rubik&#39;s Cube Collection - Fun Fact Edition!,Qo9WqPfcMDQ,2021-12-22,cubes,15064,1245,1669884,2021,12,0.009766546658330759
Why did I order 3000 Rubik&#39;s cubes?,vgicYVYft3s,2022-08-23,cubes,23205,1028,235294,2022,8,0.10299030149515075
$2000 WORLD&#39;S BIGGEST CUBE UNBOXING,wsaYy-YHLWs,2021-11-26,cubes,9760,879,380649,2021,11,0.027949633389290397
EVERY RUBIK&#39;S CUBE FROM 1x1 TO 19x19,Zexcefmr0cY,2021-07-10,cubes,2025653,8188,58590655,2021,7,0.034712719972152556
This Kid Solves RUBIK&#39;S CUBE In 5 Seconds..,cq1rdB4Nu4o,2020-02-17,cubes,233724,8895,10608521,2020,2,0.022870200285223546
How to Solve a Rubik&#39;s Cube | WIRED,R-R0KrXvWbc,2019-09-05,cubes,339759,32717,29905105,2019,9,0.012455264744932346
"Proof There’s 43,252,003,274,489,856,000 Rubik&#39;s Cube Combinations! 🤯",G1WctpbuWyk,2022-08-24,cubes,11069,298,156011,2022,8,0.072860247033863
ROSHTEIN NEW AMAZING RECORD WIN ON CUBES 2!!,2qXhKXCILLg,2022-06-22,cubes,275,14,21114,2022,6,0.013687600644122383
Solving Rubik’s cube of all sizes in record time,ymIF1sPtcJc,2021-12-03,cubes,46684,1770,1962673,2021,12,0.024687760008926602
My 10 Year Old Solved A Rubik&#39;s Cube!,Ycn6-ydiEeI,2022-05-08,cubes,11943,1582,838788,2022,5,0.016124455762361885
WHOSE CUBE IS THE BEST? ⚔️ Family Cube Battle!!!,kkaF1pyhYAA,2020-07-04,cubes,20909,2455,1782074,2020,7,0.013110566676804667
Can you open this cube? Ft. @ZHC,R2SnOAXOqX0,2022-08-21,cubes,110517,493,1847672,2022,8,0.06008101004940271
Top 10 Coolest Rubik&#39;s Cube Mods!,eB5XX_-tiPs,2022-02-26,cubes,36738,967,2458686,2022,2,0.015335427134656479
HUGE $500 CUBE UNBOXING | What Cubes Did I Get?,JAxKVxo8LFI,2020-06-16,cubes,19054,1926,900960,2020,6,0.023286272420529212
Blue Rubik’s Cube 🔵,C_8BN_CL2tw,2022-04-07,cubes,228332,689,6329576,2022,4,0.0361826763751632
Stickers VS Stickerless Rubik&#39;s Cubes,2ze9mm3tZTA,2021-02-23,cubes,39281,2003,2372539,2021,2,0.01740076770076277
Infinite cube glitch? 🤔,5Ab5rhdwEQw,2022-04-18,cubes,867676,8428,16209382,2022,4,0.054049192004975884
18 PUZZLE MASSIVE UNBOXING 😵 (Puppets + Time Machines!?),rN-jJRLe0uY,2021-02-06,cubes,50788,1455,5281537,2021,2,0.009891628137793979
Magic trick to solve Rubik&#39;s Cube#shorts,nZ7m5UDvfps,2021-04-29,cubes,428683,2964,12964069,2021,4,0.0332956419778389
How to solve a Rubik’s cube | The Easiest tutorial | Part 1,E7-0GYMCwyQ,2020-02-08,cubes,129552,4612,13278916,2020,2,0.010103535559679721
CAN WE SOLVE RUBIK&#39;S CUBES MADE OF JELLY?? 🍮,U8Y9a4ktw34,2021-04-03,cubes,9432,510,738726,2021,4,0.013458305244434338
TRICK To Solve Rubik Cube In Just 10 Seconds!!,axyNCiXeym8,2022-07-13,cubes,634419,7981,6170029,2022,7,0.1041162043160575
POV: You Get a Shiny Cube on Easter,MtS9rIFQacU,2022-04-17,cubes,79852,2601,6149318,2022,4,0.013408478793908527
Rubik’s Cubes Then vs Now #shorts,_LHo5ZRE3es,2022-05-28,cubes,60991,278,1134047,2022,5,0.05402686132056255
Making the largest Rubik’s Cube - Guinness World Records,egGtItqv8ss,2020-03-24,cubes,82390,1772,10106841,2020,3,0.008327231030942309
Solving the huge Rubik&#39;s Cube 15X15 in record time,6MWTTiNhu7I,2020-03-13,cubes,636440,16875,39581966,2020,3,0.01650537014760712
Evolution of the Rubik&#39;s Cube 🔥📈 #shorts,c-UYuy7ttFg,2022-01-11,cubes,309903,995,7308863,2022,1,0.04253712239509757
Can You spot the Fake Rubik’s Cube? 🤔,LIdwACwZ7E4,2021-11-07,cubes,837671,5178,23535618,2021,11,0.03581163664366069
BEST VIDEO FOR SOLVING RUBIK&#39;S CUBE | BEGINNERS GUIDE,AuYVJWN-A2c,2020-11-17,cubes,51599,6817,4795109,2020,11,0.01218241337162513
😱2/2 Cube Solved in 1 second challenge#short #cube#tranding,CkhgF-bP2cc,2022-07-24,cubes,205854,338,4543326,2022,7,0.04538349218171885
😯Triangle cube solving challenge #short #viralvideo #cuber #akcuber,ElSQJJ_dnSQ,2022-08-03,cubes,94707,81,2036446,2022,8,0.04654579596021697
It is IMPOSSIBLE to Un-Solve This Cube  (Cube but Forced),23-ZSXAdKkw,2022-04-20,cubes,308847,1487,5884330,2022,4,0.05273905440381488
Rubik&#39;s cube spinner moves #shorts #rubikscube,BiLRJyI9KPk,2021-09-17,cubes,367266,1001,10125075,2021,9,0.036371779962123735
Scrambled,kmrZyByO8Qc,2018-11-29,cubes,752667,6382,50348575,2018,11,0.01507587851294699
INSANE WIN on Cubes 2 Slot! (Bonus Buy),mvhz2HTGf3k,2022-08-02,cubes,150,14,10146,2022,8,0.01616400551941652
How to NOT use a cube stand…. 🤦‍♂️,jnc2M_aLtiY,2022-06-12,cubes,356355,1413,5533307,2022,6,0.06465717517571319
Solve 3x3 rubik&#39;s cube 😂,ulLge_FqRyI,2022-07-15,cubes,81516,77,3074914,2022,7,0.026535051061590667
how to solve rubik&#39;s cube 3x3 - cube solve magic trick formula #shorts,fUwXjv-9VZU,2021-11-10,cubes,40407,149,1574015,2021,11,0.025765955216436945
Why Thé Rubik&#39;s Cube Is PURPOSEFULLY Made BAD,l8nAhqoo_sE,2022-05-21,cubes,23288,1633,1360604,2022,5,0.018316130189239485
Do metal ice cubes work?,kw1LyzdWaDo,2022-06-24,cubes,402045,2922,6742766,2022,6,0.060059477075135044
Learn How to Solve a Rubik&#39;s Cube in 10 Minutes (Beginner Tutorial),7Ron6MN45LY,2018-09-19,cubes,461154,47971,38289391,2018,9,0.013296764108888543
Ice Cube - It Was A Good Day,h4UqMyldS7Q,2009-02-24,cubes,2307773,71897,168546247,2009,2,0.014118795537464562
Secret Rubik’s cube hiding spot 🤫 *Transforming Cubes* 😱,9y9hhI90Vk8,2021-11-02,cubes,738796,1960,24994827,2021,11,0.029636372358168354
BEST Magic Show in the world - Genius Rubik&#39;s Cube Magician America&#39;s Got Talent,PFA-RmV_wG0,2016-09-29,cubes,954935,28908,94900199,2016,9,0.010367133160595374
When your Rubik&#39;s Cube is from the year 3000,5s5BSfHKauw,2022-07-02,cubes,7004,412,457957,2022,7,0.016193660103459497
Shark Tank US | Lori Gives Out Her Golden Ticket To Souper Cubes!,gwKFZlyZ99E,2021-07-26,cubes,41945,1808,3157064,2021,7,0.013858762445107226
STOCKFISH CRUSHES... Stockfish?!,0w7AcgGAPss,2022-08-24,chess,11053,1264,180651,2022,8,0.06818118914370803
Chess.com Makes Offer To Play Magnus Group,DP-K0mYHeD0,2022-08-24,chess,1411,221,36310,2022,8,0.04494629578628477
FIDE Dunks On Magnus? Why Do They Hate Online Chess?,xHWuoy4yJGo,2022-08-23,chess,1569,167,55539,2022,8,0.03125731467977457
Chess.com Buys Play Magnus!!! (+ Awesome Game),hUiimkqWupY,2022-08-24,chess,2547,263,85191,2022,8,0.032984704957096406
The 4 WORST Chess Openings,GLpYQCCcZ6w,2022-08-23,chess,8907,1122,170926,2022,8,0.05867451411722032
"Champions Chess Tour: FTX Crypto Cup | Day 6 | Commentary by David, Jovanka, Kaja &amp; Simon",9FPqc2iXd0U,2022-08-20,chess,1678,83,141306,2022,8,0.012462315825230351
Elefante38 IMPRESSIONA SUPER GM!,2pt9bQzRCYs,2022-08-24,chess,8738,412,53211,2022,8,0.17195692619947003
A brief history of chess - Alex Gendler,YeB-1F-UKO0,2019-09-12,chess,176829,6375,7571701,2019,9,0.024195884121678866
The History Of Chess: A Reflection Of Us,kkOweffr3II,2022-08-21,chess,2546,173,51885,2022,8,0.05240435578683627
*NEW* FPS Chess Game Mode,JGe7fInlJaM,2022-08-04,chess,137884,4568,3068118,2022,8,0.046429765739127375
I Made a BETTER Chess,mcivL8u176Y,2022-06-25,chess,77110,6113,1457290,2022,6,0.057108056735447305
How To Learn &amp; Study Chess Openings,6IegDENuxU4,2020-12-17,chess,77520,1947,2213038,2020,12,0.03590855647304746
Best Chess Opening for White After 1.e4 | Scotch Gambit Traps,UApgiHQKemk,2022-08-24,chess,621,38,21164,2022,8,0.031137781137781137
Endgame closure | CM Crevatin Leo - IM Yuri Lapshun | Blitz chess,gVqeaFLr9Ec,2022-08-24,chess,52,11,2471,2022,8,0.025495750708215296
FINALS: Can Fedoseev Stop Hansen’s Undefeated Finals Run? Fischer Random Championship | Qual. 1,U5RPDMEjucw,2022-08-24,chess,519,9,40223,2022,8,0.013126817989707381
"Champions Chess Tour: FTX Crypto Cup | Day 1 | Commentary by David, Jovanka, Kaja &amp; Simon",p5kFz_RdhPQ,2022-08-15,chess,1521,47,103248,2022,8,0.015186734852006818
Please Stalemate Me,mhhJFWsAHlo,2022-08-24,chess,1643,59,38688,2022,8,0.0439929693961952
3 WINS AGAINST MAGNUS CARLSEN!!,Zxp5hZIwSEc,2022-08-22,chess,9544,820,198004,2022,8,0.05234237692167835
How To Play Chess: The Ultimate Beginner Guide,OCSbzArwB10,2020-12-02,chess,98001,3626,2615459,2020,12,0.038856277234703356
Numbaa 7 - Chess (Exclusive By: @HalfpintFilmz),zpYdgUoitd4,2021-07-02,chess,34514,1228,1469736,2021,7,0.024318653145871096
Chess.com Buying Chess24? What About Lichess? Hikaru vs Magnus Every Week?,PSEgcXUy9zU,2022-08-24,chess,239,20,4130,2022,8,0.06271186440677966
Champions Chess Tour: FTX Crypto Cup | Day 6 | Commentary by Peter Leko &amp; Lawrence Trent,yf5O-PcU5WQ,2022-08-20,chess,736,39,74253,2022,8,0.01043728872907492
"Champions Chess Tour: FTX Crypto Cup | Day 7 | Commentary by David, Jovanka, Kaja &amp; Simon",nGrFH7v3Z_E,2022-08-21,chess,2765,200,193604,2022,8,0.015314766223838351
"Champions Chess Tour: FTX Crypto Cup | Day 4 | Commentary by David, Jovanka, Kaja &amp; Simon",NpJRRFH7xKI,2022-08-18,chess,1444,46,108383,2022,8,0.013747543433933366
Champions Chess Tour: FTX Crypto Cup | Day 7 | Commentary by Peter Leko &amp; Lawrence Trent,yO0c4ztKHdk,2022-08-21,chess,901,53,78841,2022,8,0.01210030314176634
Ultimate Showdown || Carlsen vs Praggnanandhaa || FTX Crypto Cup (2022),M1ZAP5H_o8s,2022-08-21,chess,4783,184,137405,2022,8,0.03614861176813071
"Chess Trash Talker Says He&#39;ll Smoke Me, So I Bet $100",PBTy3TqWmgk,2022-08-16,chess,5444,684,229865,2022,8,0.026659126008744264
7 MOST COMMON Chess Mistakes,SXrKRA_KZ5k,2021-09-14,chess,46158,2486,1142057,2021,9,0.042593320648619114
9-Year-Old Boy Defeats A Professional Chess Streamer,CS3RauXJzBA,2021-11-23,chess,160983,6443,13844095,2021,11,0.012093676040217868
"Champions Chess Tour: FTX Crypto Cup | Day 2 | Commentary by David, Jovanka, Kaja &amp; Simon",-dqb6xchBuI,2022-08-16,chess,1234,44,92760,2022,8,0.013777490297542045
Bobby Fischer crushes Chilean Chess Champion in 23 moves | 1960,_9Ly6jx2uz8,2022-04-05,chess,7927,603,466494,2022,4,0.018285337003262635
"$150K On The Line: Hikaru, Fabi, Nepo, and More Battle In Rapid Chess Championship Finals! | Day One",4y4V0ndpyJk,2022-08-18,chess,814,27,55105,2022,8,0.015261772978858543
Magnus Smiling Entire Game Against Alireza || FTX Crypto Cup (2022),cGlAN4YxWVw,2022-08-20,chess,4232,283,124442,2022,8,0.03628196268140981
I Was SHOCKED When I Heard This Chess Hustler&#39;s Rating,BkC1xEZn-6o,2022-06-10,chess,10670,1189,1020154,2022,6,0.011624715484132788
Pragg Beats Super GM in &quot;10 Moves&quot;!,Rk4bAofG8xE,2022-08-18,chess,8534,517,254621,2022,8,0.035546950173002224
"Opening Prep Is Useless… Vidit, Bok, Hansen, and More in Fischer Random KO! | Qualifier One",vK00aD8FmsE,2022-08-23,chess,589,17,47926,2022,8,0.0126444935942912
Human Chess In Real Life With 32 Real Humans As Pieces !! You Win Or Dié,wxuyqABS6kQ,2021-12-12,chess,136598,4140,5231674,2021,12,0.026901141011462106
"Champions Chess Tour: FTX Crypto Cup | Day 3 | Commentary by David, Jovanka, Kaja &amp; Simon",DCHo5HSIkRA,2022-08-17,chess,1314,84,100586,2022,8,0.013898554470801105
TOP 10 Chess Grandmaster CRUSHED In 10 Moves!,Jc3TgOaC_5Q,2022-08-19,chess,9062,452,200847,2022,8,0.047369390630679076
Using Magnus Carlsen to CHEAT in Chess,zdsdEVngg7Y,2021-04-22,chess,90491,1633,2854238,2021,4,0.03227621522802233
Punishing Beginner Mistakes | Ponziani Opening,D2Gs5upS1AA,2020-09-02,chess,44471,1359,2853191,2020,9,0.01606271714722218
Learn to Play Chess Today in Less Than 10 Minutes,hF4X7ZkaRTE,2021-01-18,chess,19895,1434,1094217,2021,1,0.019492477269134
Why Did the World’s Best Chess Player Go Insane?,Od3gG13tyf8,2022-03-04,chess,143561,8930,3854528,2022,3,0.03956152348614409
I Trained Like A Chess Grandmaster,t8IVLOM1fXI,2021-10-07,chess,117286,4398,3128517,2021,10,0.03889510589202488
Chess in a Nutshell,D2RrRsBgbv0,2020-08-12,chess,219213,5353,5423172,2020,8,0.04140860736115321
How to Assess ANY Chess Position: The Ultimate Guide,-Mv5KqtuVrc,2022-08-24,chess,58,21,601,2022,8,0.1314475873544093
The Master Alekhine,JLt4ZYoaj3c,2022-08-24,chess,383,14,4951,2022,8,0.08018582104625328
"Apple Announces Fall iPhone Event (iPhone 14, Apple Watch Pro &amp; More)",4hzVivXyhyo,2022-08-24,apple,915,107,47811,2022,8,0.02137583401309322
Apple&#39;s  September 7th iPhone 14 Event Everything Leaked!,9Q9z1cDxo50,2022-08-24,apple,1294,163,42191,2022,8,0.034533431300514325
Apple September 7 iPhone 14 Event ANNOUNCED! 🥳 EVERYTHING We&#39;re Getting!,pv5v20md5Sk,2022-08-24,apple,4187,723,83807,2022,8,0.05858699154008615
"iPhone 14 Event = RUINED! FIRST LOOK at EVERYTHING! iPhone 14 Pro, Apple Watch S8 + ONE MORE THING!",epMDcAG_YjQ,2022-08-23,apple,7385,1081,132072,2022,8,0.06410139923677993
iPhone 14 Apple Event Announced! Here&#39;s What We&#39;ll Get..,eqOWtZHQV3I,2022-08-24,apple,3586,295,108055,2022,8,0.03591689417426311
Apple September 2022 Event - 8 Things to Expect!,ByVAo54hYeQ,2022-08-20,apple,5638,520,255839,2022,8,0.02406982516348172
Was bringt das Apple-September-2022-Event - 4K | Apfeltalk,be1frkduYbY,2022-08-24,apple,184,47,1954,2022,8,0.11821903787103377
Vì sao pin Apple Watch kém hơn nhiều các smartwatch khác? RTOS là gì?,kmHrlTdUYwM,2022-08-24,apple,282,29,9401,2022,8,0.03308158706520583
"Apple warns of security vulnerability in iPhones, iPads and Macs",otsvpBxGtKQ,2022-08-20,apple,478,137,31657,2022,8,0.01942698297374988
"Keynote Apple le 7 Septembre : C&#39;est Officiel ! iPhone 14, Watch Series 8 ... On fait le point !",VHQq2fLD7AU,2022-08-24,apple,358,21,4639,2022,8,0.08169864194869585
Apple September Event - Every NEW Product Revealed!,cqwpLa7eN54,2022-08-16,apple,4248,593,154901,2022,8,0.03125221915933402
Apple iPhone 14 Event is here 🔥 Big Good news for iPhone lovers ❤️,AlHcBLIJXeI,2022-08-24,apple,1818,181,27676,2022,8,0.07222864575805753
I Used the CHEAPEST M2 MacBook Air for 30 days!,JV_twMJbCik,2022-08-24,apple,1916,209,61195,2022,8,0.03472505923686576
iPhone 14 Pro Max First Look,P3Q5XYacz5E,2022-05-13,apple,91267,8050,5210940,2022,5,0.019059325188929443
Why iPhone 14 is so good | Apple fired someone,N1kjLnSv6Wg,2022-07-30,apple,5409,698,378563,2022,7,0.01613205727976585
Apple urges users to update devices following security threats,X-hJj5hKrdo,2022-08-20,apple,332,32,49591,2022,8,0.007340041539795527
PIKOTARO - PPAP (Pen Pineapple Apple Pen) (Long Version) [Official Video],Ct6BUPvE2sM,2016-11-02,apple,4144389,294428,425478119,2016,11,0.010432538835210937
